Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1825 - May 22,Manchester,Identity,Fighting. Escalated from one-on-one fight.,0,0,0,English vs Irish,Public,People,No,No,St George's Road (4pm),"St George's Road (Rochdale Road), Manchester, UK",53.489617,-2.229644,Street,Street,Street,Streets and fields,No,Hours,1825-05-22,4pm afternon,Y,1825-05,1825,May,Sunday,No
1825 - December 11,Manchester,Identity,"Irish attacking pub owners, then police and pub itself.",0,0,0,Police and pub,Public,Both,No,No,"Red Bull Inn, Mason Street, Shudehill","Red Bull Inn Mason Street, Manchester, UK",53.487419,-2.232271,Pub,Red Bull Inn,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1825-12-11,Evening 11pm,N,1825-12,1825,December,Sunday,No
1826 - April 19-29,Manchester,Economic,"Entering provision stores, taking provisions and demanding money.
Spinners striking against lowering of wages.
Begging from shops and people. 
Mugging respectable looking people of their watches.
Stoning police/troops in evening (stones, brickbats, paving stones)
Marching in formation through the town.
Attack power-loom factories with stones. Breaking in and destroying machinery and furniture. Attacking knobsticks and throwing them in the canal. Factory workers firing out to defend their factory. 
Carefully targetting power-loom factories. 
'already done enough petitioning', ""What must I do? I can not get work. My wife and children are famishing before my eyes; and if I don't beg we must lay ourselves down and die""
Barricades of large stones across the roads. (Many 1000s involved)",0,1,1,"Factories, machinery and counting machines, knobsticks, police/troops and gentlemen.
Also shops",Public,Both,No,"Scabs, respectable looking people","St George's Fields, Oak Street, Long Millgate, Jersey Street, New Cross, Oldham Street, Ancoats Lane, Newton Lane, Chorlton Row, Pollard Street, Port Street, Miller Street","Ancoats Lane, Manchester, UK",53.481587,-2.226694,"Shops, factories, streets",,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Weeks,1826-04-24,Starts in evening (7.30pm) then in day times,N,1826-04,1826,April,Wednesday,No
1826 - May 14,Manchester,Misc,Sunday riot Kersal Moor. Fighting with bludgeons,0,0,0,Crowd vs men from Hollinwood,Public,People,No,No,Kersal Moor,"Kersal Moor, Manchester, UK",53.515278,-2.276389,Fete,,Fete,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1826-05-14,Morning,Y,1826-05,1826,May,Sunday,No
1826 - June,Manchester,Economic,"Attacks on knobsticks
Meetings in St George's Field and a field near Travis Street Canal, Ancoats (Many 1000s)",0,0,0,Knobsticks,Public,People,No,No,"st george's field. Travis Street canal, Ancoats","St George's Fields, Manchester, UK",53.490063,-2.229838,Streets,,Streets,Streets and fields,Yes,Weeks,NA,??,,1826-06,1826,June,NA,No
1826 - September,Manchester,Economic,Fight between old and new hands. Women used to replace strikers,0,0,0,Old hands,Public,People,No,No,??,??,NA,NA,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Hours,NA,??,,1826-09,1826,September,NA,No
1827 - May,Manchester,Misc (bailiff),Rioters attacking houses after bailiffs emptied them (people behind on their rent),0,0,0,Houses just emptied by bailiffs,Public (Bailiff),Property,No,No,Cropper Street,"Cropper Street, Manchester, UK",53.4805464,-2.2348396,House,,House,Home,No,Hours,NA,??,,1827-05,1827,May,NA,No
1828 - January 30,Manchester,Misc,Fight at meeting of police commissioners in Town Hall,0,0,0,,Public,People,No,No,Town Hall,"Town Hall, Manchester, UK",53.478923,-2.2440034,Meeting (police commissioners election),Town Hall,Meeting,Meeting hall,No,Minutes,1828-01-30,Morning,Y,1828-01,1828,January,Wednesday,No
1828 - July 27,Manchester,Misc (anti-police),"Fighting police with fists and brickbats.
Irish fighting each other but then ganged up on police when they tried to interfere.
Rescue prisoner (man shouted ""I am a Roman Catholic"" as was arrested)",1,0,0,Police,Public,People,No,No,Canal Street and Ancoats lane,Canal Street,53.47718,-2.236594,Streets,,Streets,Streets and fields,No,Hours,1828-07-27,Evening,N,1828-07,1828,July,Sunday,No
1828 - September 11,Manchester,Identity,Attaching coachman (who had held up procession of Granby Row Catholic school to Chapel),0,0,0,Coachman,Public,Property,No,No,Picadilly,"Picadilly, Manchester, UK",53.4811508,-2.2357262,Street (procession),,Street (procession),Streets and fields,No,Hours,1828-09-11,Day,Y,1828-09,1828,September,Thursday,No
1829 - January 1,Manchester,Misc (anti-police),Irish fighting. Police intervene and are attacked. (3-400),0,0,0,Police,Public,People,No,No,St George's Road,"St George's Road (Rochdale Road), Manchester, UK",53.435211,-2.2111287,Street,,Street,Streets and fields,No,Hours,1829-01-01,Day,Y,1829-01,1829,January,Thursday,No
1829 - April 5,Manchester,Identity / Misc (anti-police),London Road disturbance. Police intervene and are severly beaten. Planned fight between English and Irish in fields near Garston road (Bellevue) on Sunday but fight not finished. Challenge was renewed and they were going to fight  in fields by chapel when police arrived,0,0,0,Police,Public,People,No,No,London Road,"London Road, Manchester, UK",53.4763173,-2.2313337,Field,,Field,Streets and fields,No,Hours,1829-04-05,Day,Y,1829-04,1829,April,Sunday,No
1829 - May 3 & 4,Manchester,Economic,"Weavers strike.
Mass meetings. Attacking factories (often deliberately leaving power mills untouched). Cloth and wept thrown into the canal.
Attacking police with stones and missiles. Stoning factories before forcing way in.
Shops entered and gutted. Some coaches stopped and money demanded. 
Sending delegates to other towns to spread strike.
Covering windows of factories and coaches with dirt and mud.
Mugging respectable-looking men. 
Loaves thrown out to appease mob (which it normally did - attacked only if not forthcoming).
Levvying at pubs and private homes. Contributions received with cheers and shared amongst the crowd. Tried to burn down a mill.
Went up to bedrooms above shope and destroyed furniture, beddding and clothes. Picketing house where they  believed some knobstick was coming to take up jobs. 
Rescuing prisoners from gaol",1,1,1,"Factories, knobsticks, machinery (not power-looms).
Shops, pubs and houses above.
Private homes and respectable-looking gentlemen.
Police/troops. ",Both,Both,Yes,"Knobsticks, respectable looking gentlemen","New Cross, Oldham Road, POllard Street, Dyche street, Oldham street, St George's road, Ancoats street, Bank top, Oxford Road, Faulkner street, Upper Ancoats street, Ardwick, Granby row, Irk Street (Collyhurst), Bengal street
Stockport (Heaton Lane), Portwood and Rochdale. Nicholas street, Chorlton row, Chancery lane","St George's Field, Manchester, UK",53.490063,-2.229838,Open air meeting,St Georgeâ€™s Fields,Open air meeting,Streets and fields,Yes,Days,1829-05-03,All day & night,Y,1829-05,1829,May,Sunday,No
1829 - May (late),Manchester,Misc (anti-police),Crowd gathered to watch a fight. Police interfere and are attacked (some stones thrown),1,0,0,Police,Public,People,No,No,St George's Church,"St George's Church, Manchester, UK",NA,NA,Church,St Georgeâ€™s Church,Church,Church,No,Minutes,NA,Night,N,1829-05,1829,May,Monday,No
1829 - May 27,Manchester,Misc,Deserters being held in pub in Harperhuey in transit. Mob attack to free the prisoners,1,0,0,Pub and troops.,Public,People,No,No,Harperhuey,"Harperhuey, Manchester, UK",53.506442,-2.215505,Pub,,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,1829-05-27,Noon,Y,1829-05,1829,May,Wednesday,No
1829 - June 6,Manchester,Identity,"Irish row, Saturday night, 11pm. Red Bull Pub  on Mason street. Galway vs Silgo men. Escalated from a simple fight as Silgo man went to pub, challenged Galway men to fight, was severly beaten. Returned with more men and general fight began. Lasted half an hour. Pokers used.",0,0,0,Irish factions fighting,Public,People,No,No,Mason Street. Pub,"Mason Street, Manchester, UK",53.4866018,-2.2334194,Pub,Red Bull Pub,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,1829-06-06,Evening (11pm),N,1829-06,1829,June,Saturday,No
1829 - July 22,Manchester,Economic,"Attack factory (doors and windows) and force workers to turn out. 
Attacking workers with bludgeons and sticks.
Attack employer's house adjoining the factory",0,0,1,"Factory, workers.
Employer and his home",Both,Both,Yes,"Scabs, employers",Angel Street,"Angel Street, Manchester, UK",53.4878389,-2.2362381,"Factories, homes",,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1829-07-22,Morning and evening,Y,1829-07,1829,July,Wednesday,No
1829 - November 11,Manchester,Misc (bailiff),"Attacking bailiffs with bludgeons, pokers and other weapons. Rescued the goods they had seized. (mob of 500)",0,0,0,Bailiffs and police,Public (Bailiff),People,No,No,Newton Lane,"Newton Lane (Oldham Road), Manchester, UK",53.486567,-2.2285,House,,House,Home,No,Minutes,1829-11-11,Morning (10am),Y,1829-11,1829,November,Wednesday,No
1830 - February 24,Manchester,Misc (bailiff),"Attacking bailiffs.
Destroying house, furniture and looms. Bonfire in the middle of the house. Came bcak next day and pulled down the rest of the hosue",0,0,0,Bailiffs. House,Public (Bailiff),People,No,No,New Town and Collyhurt,"Collyhurst, Manchester, UK",53.497904,-2.23091,House,,House,Home,No,Days,1830-02-24,Morning (9.30am) and evening,Y,1830-02,1830,February,Wednesday,No
1830 - March 17,Manchester,Identity / Misc (anti-police),"St Patricks Day celebration. Crowd returning from mass trying to cross bridge back over in Salford but find bridge keeper had shut the gate. They force their way through and attacked his house smashing windows. Police arrive, arrest someone, crowd rescue him",1,0,0,Bridge keeper's house. Police,Both,Both,Yes,Bridgekeeper,Bridge to Salford,"Bridge Street Salford, Manchester, UK",53.481523,-2.252255,Street (procession),,Street (procession),Streets and fields,No,Minutes,1830-03-17,??,,1830-03,1830,March,Wednesday,St Patrickâ€™s Day
1830 - April 15,Manchester,Economic,Strike. Marching to other factories turning out workers. Fight with police,0,0,1,Factories and police,Public,Both,No,No,"Mather street, Dyche street, Newtown. ","Mather street (Ducie Street), Manchester, UK",53.480121,-2.229479,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Minutes,1830-04-15,Noon,Y,1830-04,1830,April,Thursday,No
1830 - July 12,Manchester,Identity,Orangemen dining in pubs. Attacked by Irish. Stoning pubs. Pulling down flags. Smashing up inside of pubs.,1,0,0,Orangemen. Pubs.,Public,Both,No,No,"Withy Grove, Long Millgate, Garrat, Bank top. ","Withy Grove, Manchester, UK",53.4846856,-2.2413423,Pub,,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Minutes,1830-07-12,Day,Y,1830-07,1830,July,Monday,12th July
1830 - July 26,Manchester,Identity,Entering Protestant houses and beating people up in their beds. Beating up neighbours who tried to defend them. (only 8 to 10 in mob),0,0,0,Protestants. Private homes. ,Private,People,Yes,Protestants,Cropper Street,"Cropper Street, Manchester, UK",53.4805464,-2.2348396,House,,House,Home,No,Hours,1830-07-26,5:00 am,N,1830-07,1830,July,Monday,No
1830 - September 14 & 15,Manchester,Identity,"Skirmish between Orange and Irish parties. Ribandmen attack house, fire shots in and out, doors and windows destroyed. ",0,0,0,Orangemen. Private home.,Private,Both,Yes,Ribbandman,"Newtown, St George's Row","Newton, Manchester, UK",53.486567,-2.2285,House,,House,Home,No,Days,1830-09-14,Evening (8pm),N,1830-09,1830,September,Tuesday,No
1830 - November 17,Manchester,Economic,"Women and lads being employed at low prices. Pickets. Man arrested, attempt to rescue, stones and sticks thrown at police.",1,0,0,Police and workers. ,Public,People,No,No,Ancoats,"Ancoats, Manchester, UK",53.485371,-2.2281397,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Minutes,1830-11-17,Evening,N,1830-11,1830,November,Wednesday,No
1830 - December 7,Manchester,Economic,Trying to turn out workes. Break into factory. Beat the owner. Rob him of watch and gold rings,0,0,1,Employer,Public,People,No,Employer,"Cotton Street, Ancoats","Cotton Street Ancoats, Manchester, UK",53.4841213,-2.2291816,"Factories, homes",,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Minutes,1830-12-07,Morning,Y,1830-12,1830,December,Tuesday,No
1831 - October 14,Manchester,Political,Mob of 100s attacking houses of people who opposed reform,0,0,0,Private homes,Private,People,Yes,Reform opposers,"London Road, Mosley street","London Road, Manchester, UK",53.475803,-2.230761,House,Specific house of â€˜villain of Peterlooâ€™,House,Home,No,Minutes,1831-10-14,Evening (9pm),N,1831-10,1831,October,Friday,No
1831 - November,Manchester,Misc (anti-police),Irish mob of women rescue prisoners who had been arrested for brewing illegal alcohol,1,0,0,Police,Public,People,No,No,George Street,"George Street, Manchester, UK",53.4783774,-2.241133,Street,,Street,Streets and fields,No,Minutes,NA,??,,1831-11,1831,November,NA,No
1832 - April 18,Manchester,Economic,"Visiting homes of weavers working for two particular employers. destroyed their pieces on the loom (mob of 200)
Eventually dispersed by police",0,0,0,Private homes (they are also workshops though...),Private,Both,Yes,Scabs,Fox street,"Fox street, Manchester, UK",53.403777,-2.170972,House,Houses of weavers (they worked at home by sounds of it),House,Home,Yes,Minutes,1832-04-18,??,,1832-04,1832,April,Wednesday,No
1832 - July 22,Manchester,Identity,Irish fighting each other. Police interfere and were attacked. Cart smashed,0,0,0,Inter-Irish beef. Police,Public,Both,No,No,St George's Road,"St George's Road (Rochdale Road), Manchester, UK",53.490595,-2.228286,Street,,Street,Streets and fields,No,Minutes,1832-07-22,Afternoon (3pm),Y,1832-07,1832,July,Sunday,No
1832 - September 2,Manchester,Misc (cholera),Attack cholera hospital. Carried partially dissected cholera victim through the streets. Liberated patients. Smashed inside of hospital,0,0,0,Cholera hospitals,Public,Both,No,No,"Swan Street, New Cross","Swan Street, Manchester, UK",53.4854361,-2.2343286,Cholera hospital,Cholera hospital,Cholera hospital,Hospital,No,Hours,1832-09-02,Evening (5pm till 3am),Y,1832-09,1832,September,Sunday,No
1832 - December 14,Manchester,Political,Breaking windows at election. Smashing windows of pubs where committee men met. Attacking committee men. Turning out factory hands. Smashed windows of factory. ,0,0,1,Committee men and their pubs. Factories.,Public,Both,No,Committee men,"Church Street, Dale street, Fountain street, High Street. Portland street. Mosley street.  And Salford","Church Street, Manchester, UK",53.4829775,-2.2374786,"Pubs, Committee meetings, factories",,"Pubs, Committee meetings, factories","Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1832-12-14,Day time,Y,1832-12,1832,December,Friday,Election
1834 - July 13 & 14,Manchester,Identity,"Orange lodges attacked. Throw stones, tying green ribbons to lampposts. Stones, brickbats, sticks and bludgeons, More violence following day near pub on Oldham Road when Sexton of St George's Road church was attacked.",0,0,0,Orangemen. Home of the sexton of Saint George's church,Public,Both,No,Sexton of St Georgeâ€™s Road church,"Deansgate, New Cross, Market street, St George's road.","Deansgate, Manchester, UK",53.479268,-2.2489946,Street,,Street,Streets and fields,No,Days,1834-07-13,Mornings (9-10am) and afternoon,Y,1834-07,1834,July,Sunday,12th July
1835 - January 8 & 9,Manchester,Political,Fight between different electoral parties. Reformists allied with Irish. Band playing music. Broke windows of pubs where rival committee men were meeting.,0,0,0,Electoral rivals,Public,Both,No,Committee men,Salford: Greengate and Bury street.,"Greengate Salford, Manchester, UK",53.4870868,-2.2483456,"Street, pubs",,Street,Streets and fields,No,Days,1835-01-08,Afternoon (2.30pm then noon),Y,1835-01,1835,January,Thursday,Election
1835 - July 12,Manchester,Identity,Orange vs Irish fighting (in mixed area). Attacking houses where Protestants lived. Attacks on officers. Destroyed house of Protestant landlord. Next day smashed a house in St George's road where Orange flag had been hung.,0,0,0,Protestants. Private homes. ,Both,Both,Yes,Protestants,St George's road. ,"St George's Road (Rochdale Road), Manchester, UK",53.490595,-2.228286,House,,House,Home,No,Days,1835-07-12,Afternoon and evening,Y,1835-07,1835,July,Sunday,12th July
1837 - March 13,Manchester,Economic,Union men attack irish labourers (accuse them of being knobsticks). Specials intervene and attacked by whole party,0,0,0,Police and knobsticks (Irish).,Public,People,No,No,"Bird in Hand pub, Cheetham Hill","Bird in Hand pub Cheetham Hill, Manchester, UK",53.50214,-2.236892,Pub,Bird in Hand Pub,Pub,"Places of leisure (pubs, theatres, football grounds etc)",Yes,Minutes,1837-03-13,Evening,N,1837-03,1837,March,Monday,No
1837 - April 17 - 20,Manchester,Economic,"Visiting bakers shops demanding bread. Loaves then smeared in blood and carried around on poles. 
Same again few days later.",0,1,0,Provision shops. Police,Public,Both,No,No,"St George's road. Ancoats street, Oldham street, ","St George's Field, Manchester, UK",53.490063,-2.229838,Open air meeting,St Georgeâ€™s Fields,Open air meeting,Streets and fields,Yes,Days,1837-04-17,Afternoon and evening,Y,1837-04,1837,April,Monday,No
1837 - July 26,Manchester,Political,"Election riots. 400-500 Irish parading city attacking people who supported opposite side and beer houses and police. Sticks, stones, bludgeons. Driving electors away from booths, chants. Destroyed pub and carried away furniture. Tore up paving stones. 
Attacking private homes and shops of Tories. Then retaliation. Attacks on pubs, pulling down flags. Looted beer shop. ",0,0,0,"Tory homes, pubs and shops.
Attack on Irish pubs too",Both,Both,Yes,Leading Tories,"Salford: Chapel street, Oldfield lane, Town Hall, King street, Gravel lane, New Bailey Bridge, Browning street, Bury street","Chapel street Salford, Manchester, UK",53.4837027,-2.2539944,"Pubs, streets, homes",,"Pubs, streets, homes",Streets and fields,No,Hours,1837-07-26,Morning (10am) through the day,Y,1837-07,1837,July,Wednesday,Election
1838 - March 17,Manchester,Identity,St Patricks Day parade ends in Irish fighting each other. No fights with Orange. 6pm,0,0,0,Inter-irish faction fighting,Public,People,No,No,Mason Street,"Mason Street, Manchester, UK",53.4866018,-2.2334194,Street,,Street,Streets and fields,No,Minutes,1838-03-17,Evening (6pm),Y,1838-03,1838,March,Saturday,St Patrickâ€™s Day
1839 - August 4 & 12,Manchester,Economic,"Police attempt to arrest CHartist gun smith. Attempted rescue. Stoning car and follow police all the way to Chorlton-row Town Hall. 
1000 mob enforcing holiday by climbing into factories to turn out workers",1,0,1,Workers and police,Public,People,No,No,"Hulme, Chorlton, Oldham road, Ancoats, Pollard lane","Hulme, Manchester, UK",53.4641796,-2.2498294,"Streets, factories",,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Weeks,1839-08-04,"Evening, afternoon and morning",Y,1839-08,1839,August,Sunday,No
1840 - January 20,Manchester,Economic,Demanding bread from shops. Parading with produce of all sorts,0,0,0,Shops,Public,Both,No,No,"Deansgate, Kings street, London Road, Ancoats, Market street, Great Ancoats street","Deansgate, Manchester, UK",53.479268,-2.2489946,Shops,,Shops,Shops,Yes,Hours,1840-01-20,Morning (11am),Y,1840-01,1840,January,Monday,No
1841 - June 2,Manchester,Political,"Riotous meeting of Anti-Corn Law League. Physical force chartists attack meeting.
6th riot as Irish attack Charist meeting in Carpenter's Hall.
Irish vs English railway workers in Ashton",0,0,0,Rival radical groups (in-fighting),Public,Both,No,No,"Carpenters Hall, Stevenson Square, Lever street.","Carpenters Hall Stevenson Square, Manchester, UK",53.482575,-2.233855,Open air meeting,Stevenson Square,Open air meeting,Streets and fields,No,Minutes - goes on for month in Ashton/Hyde/Stockport,1841-06-02,Morning (meeting at 9am),Y,1841-06,1841,June,Wednesday,No
1841 - June 30,Manchester,Political,"Election riot at Ashton hustings. Fighting, attacking platform, attempt to frame Tories (theatre of election violence), later turned on the police and rescued prisoners from the police office",1,0,0,"Rival political parties, platform, police and police office",Public,Both,No,No,"Market Place, Ashton under Lyne","Market Place, Ashton under Lyne, UK",53.490214,-2.094643,Open air meeting,Market Place,Open air meeting,Market Place,No,Hours,1841-06-30,9:00 am,Y,1841-06,1841,June,Wednesday,Election
1842 - March 8,Manchester,Political,"Anti-Corn Law League and Chartists splitting. Repealer meeting attacked by Anti-Corn crew armed with bludgeons. Tore out gas lights, rails, bannisters in the hall. Stoning windows form outside. 
Intimidation at poor law overseers office (Fountain Road). Bakers shops targeted",0,0,0,Repealers and inside of Hall,Public,Both,No,No,"Campfield, Socialists Hall of Science","Campfield Socialists Hall of Science, Manchester, UK",53.47674,-2.25261,Meeting,,Meeting,Meeting hall,No,Hours,1842-03-08,Evening (7pm),N,1842-03,1842,March,Tuesday,No
1842 - July 4-6,Manchester,Misc,Fight over who owned Greyhound pub. Rival mobs driving each other out. Stones thrown. Police also attacked.,0,0,0,Rival groups. Police,Public,People,No,No,St George's Road,"St George's Road (Rochdale Road), Manchester, UK",53.490595,-2.228286,Pub,Greyhound Pub,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Days,1842-07-04,Evening,N,1842-07,1842,July,Monday,No
