name,type of protest,broad type,colour,description of place,type of place,date,day,time,address,place,latitude,longitude,attendance,source,links and further info
trades' meeting,strike meeting,trade union,pink_square,Paradise Square,square,15/08/1842,Monday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 20 Aug 1842,
meeting plug strikers,strike meeting,trade union,pink_square,Paradise Square,square,17/08/1842,Wednesday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 20 Aug 1842,
meeting plug strikers,strike meeting,trade union,pink_square,Paradise Square,square,18/08/1842,Thursday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 20 Aug 1842,
meeting plug strikers,strike meeting,trade union,pink_square,Paradise Square,square,19/08/1842,Friday,10:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 20 Aug 1842,
meeting plug strikers,strike meeting,trade union,pink_square,Paradise Square,square,22/08/1842,Monday,18:00,Paradise Square,Sheffield,53.383954,-1.470432,12000,NS 20 Aug 1842,
meeting of able bodied poor,movement meeting,trade union,pink_square,Paradise Square,square,03/05/1843,Wednesday,12:00,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 6 May 1843,
miners meeting,strike meeting,trade union,pink_square,Paradise Square,square,17/05/1844,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,10000,MG 22 May 1844,
Chartist meeting,public meeting,Chartist,pink_circle,Paradise Square,square,08/04/1848,Saturday,,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 11 april 1848,
Chartist meeting,public meeting,Chartist,pink_circle,Paradise Square,square,12/06/1848,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 17 June 1848,
meeting for preservation of the peace,law and order,local government,large_yellow,town hall,town hall,09-May-1792,,,,Sheffield,53.382358,-1.468802,,WWM F 44/12,
against O in C,address meeting,commercial,pink_stars,town hall,town hall,03/02/1812,,,,Sheffield,53.382358,-1.468802,,"Iris, 4 Feb 1812",
against O in C,address meeting,commercial,pink_stars,town hall,town hall,03/04/1812,Friday,,,Sheffield,53.382358,-1.468802,,WWM/H/47,
public meeting,public meeting,radical,large_green,town hall,town hall,01-Dec-1820,,12:00,,Sheffield,53.382358,-1.468802,,"The Times, 1 Jan 1821",
reform petition,petition,reform,grn_circle,town hall,town hall,31-Jan-1823,,,,Sheffield,53.382358,-1.468802,,Ward diary 176,
petition for Catholic emancipation,petition,reform,grn_circle,town hall,town hall,08-Feb-1829,,,,Sheffield,53.382358,-1.468802,,Sheff Indep 9 Jan 1830,
Sheffield PU to elect committee,committee meeting,reform,grn_circle,town hall,town hall,24/01/1831,Monday,,,Sheffield,53.382358,-1.468802,,"Sheffield Mercury, 15 Jan 1831",
Reform Association,committee meeting,reform,grn_circle,town hall,town hall,18/06/1838,Monday,,,Sheffield,53.382358,-1.468802,,LM 23 June 1838,
nocturnal rally outside,demonstration,Chartist,pink_circle,town hall,town hall,01-Aug-1839,,,,Sheffield,53.382358,-1.468802,,"Chase, Chartism, p.103",
celebration of Burdett,election,radical,large_green,Pheasant Inn,inn/hotel,01/05/1812,Friday,,"10 Broad Street, Park",Sheffield,53.383506,-1.458285,,"Sheffield Iris, 2 June 1812",
procession to church,procession,Chartist,pink_circle,Daisy Walk,street,05/09/1839,Sunday,,,Sheffield,53.384738,-1.481122,,MG 18 Sep 1839,
radical meeting,public meeting,radical,large_green,market,market,03/12/1816,Tuesday,,,Sheffield,53.383168,-1.465806,,"Donnelly and Baxter, 415",
military assemble for proclamation of William IV,military,patriotic,blu_circle,new market,market,06/07/1830,Tuesday,,,Sheffield,53.383922,-1.465412,,Sheff Indep 10 July 1830,
volunteer mutiny,riot,riot,target,Norfolk Street,street,04/08/1795,Tuesday,,,Sheffield,53.381168,-1.467046,,"Sheffield Iris, 7 Aug 1795",
SCI appoints delegate to Edinburgh convention at meeting,committee meeting,radical,large_green,open piece of graound in West Street,open space,13-Nov-1793,,,,Sheffield,53.380398,-1.476543,,"Stevenson, 41",
meeting in opp to the war,public meeting,radical,large_green,open piece of ground in West Street,open space,28 Feb 1794,,09:00,,Sheffield,53.380398,-1.476543,,"Stevenson, 41",
meeting plug strikers,strike meeting,trade union,pink_square,open piece of ground near Ellins Wheel,open space,19/08/1842,Tuesday,,,Sheffield,53.38709,-1.477301,,NS 20 Aug 1842,
food riot/radical meeting,riot,radical,large_green,field between the Wicker and the Attercliffe,field,03/12/1816,Tuesday,,,Sheffield,53.38906,-1.459769,,"Sheffield Mercury, 7 Dec 1816",
radical meeting,public meeting,radical,large_green,field between the Wicker and the Attercliffe,field,05/12/1816,Thursday,,,Sheffield,53.38906,-1.459769,,"Sheffield Mercury, 7 Dec 1816",
commemoration of 1688,dinner,reform,grn_circle,Tontine inn,inn/hotel,05/11/1788,,21:00,,Sheffield,53.383878,-1.463585,250,"Stevenson, p.46",
riot against soldiers,riot,riot,target,Tontine inn,inn/hotel,27/07/1791,,,,Sheffield,53.383878,-1.463585,,"Sheffield Iris, 29 July 1791",
dinner in celebration of Glorious revolution,dinner,radical,large_green,Tontine inn,inn/hotel,05/11/1792,,14:00,,Sheffield,53.383878,-1.463585,,"Manchester Herald, 17 Nov 1792; Stevenson, p.57",
election victory of Milton; crowds assembled outside,election,election,ltblu_circle,Tontine inn,inn/hotel,06/06/1807,Saturday,,,Sheffield,53.383878,-1.463585,3000,LM 13 June 1807,
jubilee procession begins and ends outside it,procession,patriotic,blu_circle,Tontine inn,inn/hotel,25/10/1809,,,,Sheffield,53.383878,-1.463585,,"jubilee jottings, pp.206-7; account of the celebration 185",
jubilee dinner,dinner,patriotic,blu_circle,Tontine inn,inn/hotel,25/10/1809,,,,Sheffield,53.383878,-1.463585,,"jubilee jottings, pp.206-7",
Pitt club anniversary dinner,dinner,loyal,large_blue,Tontine inn,inn/hotel,28/05/1817,Wednesday,,,Sheffield,53.383878,-1.463585,,Pitt club pamphlet,
dinner for Coronation of Geo IV,dinner,patriotic,blu_circle,Tontine inn,inn/hotel,19/07/1821,,,,Sheffield,53.383878,-1.463585,,"Ward diary, 272",
first meeting of lit and phil,committee meeting,other,placemark_square,Tontine Inn,inn/hotel,21/02/1823,,,,Sheffield,53.383878,-1.463585,,Ward diary 276,
Pitt club anniversary dinner,dinner,loyal,large_blue,Tontine inn,inn/hotel,14/10/1824,,,,Sheffield,53.383878,-1.463585,,York Herald 23 Oct 1824; Yorks Gazette 28 Oct 1824,
"dinner for Milton and Marshall, liberal candidates",dinner,election,ltblu_circle,Tontine inn,inn/hotel,13/06/1826,,,,Sheffield,53.383878,-1.463585,,Ward diary 289,
Shakespeare Club 10th anniversary dinner,dinner,other,placemark_square,Tontine inn,inn/hotel,17/12/1828,,17:30,,Sheffield,53.383878,-1.463585,,Sheff Indep 20 Dec 1828,
electio n riot,riot,riot,target,"Haymarket, outside Tontine Inn",street,15-Dec-1832,,,,Sheffield,53.383992,-1.464275,,Ward diary 300,
ball for 1688,dinner,reform,grn_circle,assembly room,assembly room,06-Nov-1788,,,,Sheffield,53.38102,-1.466935,140,"Stevenson, p.46",
ball for queen's birthday,dinner,patriotic,blu_circle,assembly rooms,assembly room,23/01/1793,Friday,,,Sheffield,53.38102,-1.466935,,Sheff Register 25 Jan 1793,
dinner for Lord Fitzwilliam,dinner,election,ltblu_circle,assembly room,assembly room,30-Oct-1823,,,,Sheffield,53.38102,-1.466935,180,Ward diary 278,
meeting on trade unions led by Tester of Bradford,public meeting,trade union,pink_square,assembly room,assembly room,05/10/1825,,,,Sheffield,53.38102,-1.466935,,Ward diary 286,
Friends of Parliamentary Reform public dinner,dinner,radical,large_green,King's Head,pub,16-Sep-1812,,21:30,1 Change Alley,Sheffield,53.382394,-1.468263,,"Thos Ward diaries, 191",
UE meeting,secret meeting,radical,large_green,Bellas Place near the Park,open space,30/11/1800,Monday,,,Sheffield,53.381505,-1.46012,,WWM F/44/62,
meetings of the Chartists in their room,committee meeting,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,01-Aug-1839,,20:00,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 7 Sep 1839,
Chartist meeting,committee meeting,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,05/09/1839,Thursday,20:00,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 7 Sep 1839,
Chartist meeting,committee meeting,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,24/09/1839,Tuesday,14:00,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 28 Sep 1839,
Chartist tea meeting,dinner,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,21/10/1839,Monday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 26 Oct 1839,
lecture on evils of war,lecture,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,04/11/1839,Monday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 9 Nov 1839,
trades' meeting,strike meeting,trade union,pink_square,Fig Tree lane room,radical/Chartist room,21/08/1839,Sunday,20:00,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 20 Aug 1842,
Chartist lecture,lecture,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,28-Jan-1842,Saturday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 5 Feb 1842,
female Chartist lecture,lecture,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,07-Mar-1842,Monday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 5 March 1842,
trades' meeting,committee meeting,trade union,pink_square,Fig Tree lane room,radical/Chartist room,21/08/1842,Sunday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 20 Aug 1842,
Chartist/trades meeting,committee meeting,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,24/08/1842,Wednesday,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 20 Aug 1842,
chartist meeting against H G Wrd MP's speech,public meeting,Chartist,pink_circle,Fig Tree lane room,radical/Chartist room,27-Mar-1844,,,Fig Tree lane room,Sheffield,53.384215,-1.468143,,NS 13 april 1844,
anniversary of Fitzwilliam society,dinner,reform,grn_circle,George Inn,inn/hotel,17/06/1830,Thursday,,19 Market Place,Sheffield,53.383423,-1.466227,,Sheff Indep 19 June 1830,
jubilee dinner,dinner,patriotic,blu_circle,Angel Inn,inn/hotel,25/10/1809,,,Angel Street,Sheffield,53.384299,-1.466436,"master cutler, town regent, burgesses","account of the celebration, 185",
meeting to draw up resolutions for public meeting on Peterloo,committee meeting,radical,large_green,Angel Inn,inn/hotel,20/10/1819,,,Angel Street,Sheffield,53.384299,-1.466436,,"Ward diary, 261",
Tory election address,election,conservative,large_blue,Angel Inn,inn/hotel,15/07/1837,Saturday,20:00,Angel Street,Sheffield,53.384299,-1.466436,,LM 22 July 1837,
friends of civil liberty meeting on reform,committee meeting,reform,grn_circle,Albion Hotel,inn/hotel,23/11/1830,Tuesday,20:00,Haymarket,Sheffield,53.383662,-1.464268,,"Sheffield Mercury, 13 Nov 1830",
return of radicals from prison; met on route then parade round town,procession,radical,large_green,a mile off London Road,street,26/12/1794,Saturday,,,Sheffield,53.362473,-1.473233,,Hull Advertiser 2 Jan 1795,
reform petition to parl,petition,radical,large_green,Bull and Mouth Inn,inn/hotel,08/04/1793,,,30 Waingate,Sheffield,53.38479,-1.464361,,Sheff Register 11 April 1793,
public meeting on co-operation,public meeting,Owenite,large_white,Working men's association,working men's club,03/10/1839,Thursday,22:00,,Sheffield,53.384215,-1.468143,,NS 12 Oct 1839,
meeting on joint-stock provision store,committee meeting,Owenite,large_white,Working men's association,working men's club,17/10/1839,Thursday,,,Sheffield,53.384215,-1.468143,,NS 26 Oct 1839,
start of procession to Brocco meeting on Peterloo,procession,radical,large_green,Wicker,open space,26-Oct-1819,,,,Sheffield,53.388571,-1.46173,,Times 29 Oct 1819,
presentation of address to Fitzwilliam,address meeting,radical,large_green,Wentworth House,private house,02-Feb-1820,,,,Sheffield,53.474241,-1.404706,100,"Ward diary, 262",
dinner for Brougham and Morpeth,dinner,election,ltblu_circle,music hall,music hall,26-Oct-1830,,,,Sheffield,53.379979,-1.466439,,Ward diary 295,
lit and phil anniversary meeting,committee meeting,other,placemark_square,music hall,music hall,02/01/1829,Friday,,,Sheffield,53.379979,-1.466439,,Sheff Indep 3 Jan 1829,
institution of new Orange lodge,committee meeting,loyal,large_blue,Peacock Tavern,pub,04-Jan-1830,Monday,,11 Hoyle Street,Sheffield,53.388185,-1.477649,,Sheff Indep 9 Jan 1830,
lecture of William Rider Chartist,lecture,Chartist,pink_circle,Political Institute,radical/Chartist room,28-Jan-1842,Saturday,,,Sheffield,53.384215,-1.468143,,NS 5 Feb 1842,
Chartist lecture,lecture,Chartist,pink_circle,Political Institute,radical/Chartist room,13-Mar-1842,Sunday,20:00,,Sheffield,53.384215,-1.468143,,NS 5 March 1842,
no42 lodge of Loyal Orangemen half-yearly festival,festival,loyal,large_blue,Rose and Crown Inn,inn/hotel,05/11/1824,Friday,,Silver Street,Sheffield,53.385148,-1.470475,,Yorks Gazette 13 Nov 1824,
march on the churches,procession,Chartist,pink_circle,parish church,church,18-Aug-1839,Sunday,,,Sheffield,53.383107,-1.469271,,"Yeo, 123",
march on the churches,procession,Chartist,pink_circle,parish church,church,25-Aug-1839,Sunday,,,Sheffield,53.383107,-1.469271,,"Yeo, 123",
march on the churches,procession,Chartist,pink_circle,parish church,church,01-Sep-1839,Sunday,,,Sheffield,53.383107,-1.469271,,"Yeo, 123",
march on the churches,procession,Chartist,pink_circle,parish church,church,08-Sep-1839,Sunday,,,Sheffield,53.383107,-1.469271,,"Yeo, 123",
march on the churches,procession,Chartist,pink_circle,parish church,church,15-Sep-1839,Sunday,,,Sheffield,53.383107,-1.469271,,"Yeo, 123",
Irish disturbances suppression bill,public meeting,other,placemark_square,Town Hall,town hall,01/03/1833,Saturday,,,Salford,53.4841782,-2.2590516,,MG 9 March 1833,
meeting about w/cs,public meeting,other,placemark_square,Town Hall,town hall,12/11/1833,,,,Salford,53.4841782,-2.2590516,,PMG 30 Nov 1833,
reform,public meeting,reform,grn_circle,Town Hall,town hall,26-Nov-1834,Wednesday,,,Salford,53.4841782,-2.2590516,,MG 29 Nov 1834,
meeting on accession of Victoria,civic,patriotic,blu_circle,Town Hall,town hall,24-Jun-1837,Saturday,,,Salford,53.4841782,-2.2590516,,Mcr Times 1 July 1837,
Radical Association,public meeting,radical,large_green,Town Hall,town hall,30-Apr-1839,Monday,,,Salford,53.4841782,-2.2590516,,NS 4 May 1839,
dinner to celebrate Victoria's marriage,dinner,patriotic,blu_circle,Town Hall,town hall,01-Feb-1840,,,,Salford,53.4841782,-2.2590516,,Mcr Times 15 Feb 1840,
repeal of union,public meeting,Irish,green_stars,Old Cloth Hall,exchange,12/03/1834,Wednesday,,,Salford,53.485196,-2.246542,,MG 15 March 1834,
dinner for Joseph Brotherton MP,dinner,election,ltblu_circle,yard of Salford Gas Works,,16-Apr-1837,Wednesday,,,Salford,53.484587,-2.256101,,MG 12 April 1837,
meeting to support royal proclamation against seditious writings,public meeting,loyal,large_blue,Court House,court house,07-Dec-1792,,,,Salford,53.4845194,-2.2633486,,MM 11 Dec 1792,
local grievances meeting,public meeting,other,placemark_square,Red Lion Inn,pub,13/07/1848,Thursday,,Greengate,Salford,53.485522,-2.246445,,richardson papers,
loyal assoc committee,committee meeting,loyal,large_blue,King's Head,pub,13-Dec-1792,Monday,,,Salford,53.485066,-2.248155,,Chester Courant 11 Dec 1792,
no 7 district reform association dinner to Jos Brotherton,dinner,Chartist,pink_circle,"St Luke's Tavern, King St",pub,17-Sep-1838,Monday,,King Street,Salford,53.486871,-2.256528,,Mcr Times 22 Sep 1838,
dinner to celebrate Victoria's marriage,dinner,patriotic,blu_circle,"Royal Queen's Arms, Chapel St",pub,01-Feb-1840,,,Chapel Street,Salford,53.4845785,-2.2519909,,Mcr Times 15 Feb 1840,
b and cs dinner for king's birthday,dinner,patriotic,blu_circle,Oldfield Road Hotel,inn/hotel,04-Jun-1812,Thursday,,Oldfield Road,Salford,53.482951,-2.26445,,MM 9 June 1812,
meeting to oppose the 'Crown and Government security bill',committee meeting,Chartist,pink_circle,Oldfield Road open air,street,18-Apr-1848,Tuesday,,Oldfield Road,Salford,53.482951,-2.26445,,NS 22 April 1848,
"meeting of NUWC, John Jones in chair",committee meeting,trade union,pink_square,"Spinners' Arms, large room, Chapel St",pub,23/01/1832,Monday,,Oldfield Road,Salford,53.480631,-2.265791,,PMG 18 Feb 1832,
opening,,socialist,bars,"Social Institution, Great George St",radical/Chartist room,01/01/1836,Sunday,,Great George Street,Salford,53.484325,-2.261828,,"Royle, Robert Owen, 58",
Political Union meeting,,radical,large_green,Albion Inn/Hotel,inn/hotel,25-Feb-1833,Monday,20:00,High Street,Oldham,53.482951,-2.114974,,Mcr times 2 march 1833,
Dorchester labourers,,trade union,pink_square,Albion Inn/Hotel,inn/hotel,01/04/1834,Friday,,High Street,Oldham,53.482951,-2.114974,,PMG 5 April 1834,
members of defunct PU meeting,,radical,large_green,Albion Inn/Hotel,inn/hotel,30-Dec-1834,Tuesday,,High Street,Oldham,53.482951,-2.114974,,D-BUT F/24,
10 hours meeting,,trade union,pink_square,Albion Inn/Hotel,inn/hotel,23/02/1835,Monday,20:00,High Street,Oldham,53.482951,-2.114974,,D-BUT F/26,
Radicals' reception of John Fielden MP; adjourned to Primitive Meth Chapel,,radical,large_green,Albion Inn/Hotel,inn/hotel,25-Jan-1837,Wednesday,,High Street,Oldham,53.482951,-2.114974,,D-BUT/F/41,
10 hours,,trade union,pink_square,Albion Inn/Hotel,inn/hotel,14/02/1837,Tuesday,,High Street,Oldham,53.482951,-2.114974,,D-BUT/F/42,
meeting of shopkeepers to hear O'Connor,,Chartist,pink_circle,Albion Inn/Hotel,inn/hotel,16-Sep-1837,Saturday,20:30,High Street,Oldham,53.482951,-2.114974,,D-BUT F/51,
Coronation dinner,,patriotic,blu_circle,Albion Inn/Hotel,inn/hotel,28-June-1838,Thursday,,High Street,Oldham,53.482951,-2.114974,,MSA 30 June 1838; D-BUT F/56,
"Knight's funeral, committee of working men's association",,radical,large_green,Albion Inn/Hotel,inn/hotel,09-Sep-1838,,,High Street,Oldham,53.482951,-2.114974,,D-BUT F/57,
Chartists,,Chartist,pink_circle,Albion Inn/Hotel,inn/hotel,25-May-1839,,14:00,High Street,Oldham,53.482951,-2.114974,,HO 40/37/430,
annual visit of John Fielden MP to his constituents,,election,ltblu_circle,Albion Inn/Hotel,inn/hotel,03-Jan-1840,,12:00,High Street,Oldham,53.482951,-2.114974,,D-BUT F/67,
opening,,socialist,bars,"Socialist meeting room, Albion Inn Yard",radical/Chartist room,27/10/1841,,,High Street,Oldham,53.482951,-2.114974,,D-BUT/F/75,
10 hours,,trade union,pink_square,"Socialist meeting room, Albion Inn Yard",radical/Chartist room,03/11/1841,Wednesday,20:00,High Street,Oldham,53.482951,-2.114974,,D-BUT/F/75,
address to HM,,loyal,large_blue,Angel Inn,inn/hotel,06/02/1793,,,High Street,Oldham,53.541884,-2.113452,,Rowbottom diaries,
publican signed loyalist declaration,,loyal,large_blue,Angel Inn,inn/hotel,01/01/1793,,,High Street,Oldham,53.541884,-2.113452,,"Shaw, p. 172",
Orange dinner,,Orange,,Angel Inn,inn/hotel,12/07/1830,,,High Street,Oldham,53.541884,-2.113452,,D-BUT/F/1,
Whig candidate for election,,election,ltblu_circle,Angel Inn,inn/hotel,28/12/1834,Sunday,,High Street,Oldham,53.541884,-2.113452,,D-BUT F/24,
proclamation of Queen Victoria,,patriotic,blu_circle,Angel Inn,inn/hotel,23/06/1837,Friday,20:00,High Street,Oldham,53.541884,-2.113452,,D-BUT/F/4,
meeting to organise coronation celebration,,patriotic,blu_circle,"magistrates rooms, Angel Inn",inn/hotel,25/04/1838,Wednesday,20:00,High Street,Oldham,53.541884,-2.113452,,D-BUT F/55,
principal dinner for coronation,,patriotic,blu_circle,Angel Inn,inn/hotel,26/06/1838,Thursday,16:00,High Street,Oldham,53.541884,-2.113452,,D-BUT F/56,
meeting of friends of the people,,radical,large_green,"a large room', Bent",private house,07-Jun-1819,,,Bent,Oldham,53.541904,-2.229937,,Rowbottom diaries,
king's birthday - firing of volley,,patriotic,blu_circle,Curzon Street,open space,21-Aug-1830,Saturday,,Curzon Street,Oldham,53.54226,-2.114008,,D-BUT F/2,
Coronation procession,,patriotic,blu_circle,"Curzon Ground, Lord St, behind Albion inn",open space,08-Sep-1831,,,Lord Street,Oldham,53.542913,-2.113364,,D-BUT/F/4,
reform meeting,,reform,grn_circle,"Curzon Ground, Lord St, behind Albion inn",open space,13-Oct-1831,,,Lord Street,Oldham,53.542913,-2.113364,,"Butterworth, Historical sketches, p. 198",
Cobbett hustings,,election,ltblu_circle,"Curzon Ground, Lord St, behind Albion inn",open space,15-Jul-1832,,,Lord Street,Oldham,53.542913,-2.113364,15000,"Weaver, Fielden, p.60",
